sku,descripcion,categoria,volumen_total,semanas,wmape_sem_%,wmape_mes_%,mape_sem_%,mae_sem,n_pts_sem,n_meses
410010185,SOPA INST. CARNE TRAVERSO 12x65 POTE,SOPAS,500067,210,55.19,55.19,115.33,1067.6,24,3
430010185,SOPA INST. POLLO TRAVERSO 12x65 POTE,SOPAS,499018,207,47.47,33.78,103.41,1019.1,24,3
260010105,MOSTAZA TRAVERSO 10x1000 BOLSA,SALSAS,367581,210,23.26,23.02,66.75,397.4,24,3
121010290,JUGO LIMON TRAVERSO 30x500 PET,JUGO DE LIMON,326311,210,32.68,20.05,56.53,452.1,24,3
250010105,KETCHUP TRAVERSO 10x1000 BOLSA,SALSAS,291734,210,19.11,15.08,52.3,308.5,24,3
260010115,MOSTAZA TRAVERSO 12x1000 DOYPACK,SALSAS,208927,210,34.39,20.42,94.85,324.2,24,3
121010175,JUGO LIMON TRAVERSO 12x500 PET,JUGO DE LIMON,201923,210,71.77,70.9,526.48,512.4,24,3
121010320,JUGO LIMON TRAVERSO 4x5000 PET,JUGO DE LIMON,191772,210,39.78,38.74,237.58,276.9,24,3
210010495,AJI CREMA TRAVERSO 300x8 SACHET,SALSAS,190239,209,98.86,98.86,149.64,572.7,24,3
250010115,KETCHUP TRAVERSO 12x1000 DOYPACK,SALSAS,184746,210,35.15,33.13,64.01,271.6,24,3
111010290,VINAGRE BLANCO TRAVERSO 30x500 PET,VINAGRES,183315,210,45.41,45.41,82.99,251.5,24,3
121010210,JUGO LIMON TRAVERSO 20x1000 PET,JUGO DE LIMON,182880,210,36.04,36.04,82.55,209.7,24,3
113010290,VINAGRE MANZANA TRAVERSO 30x500 PET,VINAGRES,180625,210,25.32,14.02,28.49,198.0,24,3
112010290,VINAGRE ROSADO TRAVERSO 30x500 PET,VINAGRES,165830,210,23.74,8.34,33.61,161.5,24,3
210010105,AJI CREMA TRAVERSO 10x1000 BOLSA,SALSAS,148387,210,25.04,9.19,90.07,208.4,24,3
500170200,SALSA SOYA BALDE KIKKOMAN 1x18900 BALDE,KIKKOMAN,143777,191,129.01,19.89,627.17,791.6,24,3
440010185,SOPA INST. VEGETALES TRAVERSO 12x65 POTE,SOPAS,128148,210,74.94,54.54,366.55,340.0,24,3
114010290,VINAGRE INCOLORO TRAVERSO 30x500 PET,VINAGRES,120021,210,31.52,22.94,41.87,269.6,24,3
260010495,MOSTAZA TRAVERSO 300x8 SACHET,SALSAS,119950,210,43.67,43.65,114.41,302.4,24,3
