sku,descripcion,categoria,volumen_total,semanas,wmape_sem_%,wmape_mes_%,mape_sem_%,mae_sem,n_pts_sem,n_meses
410010185,SOPA INST. CARNE TRAVERSO 12x65 POTE,SOPAS,500067,210,45.66,45.66,95.27,883.4,24,3
430010185,SOPA INST. POLLO TRAVERSO 12x65 POTE,SOPAS,499018,207,37.29,18.63,79.43,800.6,24,3
260010105,MOSTAZA TRAVERSO 10x1000 BOLSA,SALSAS,367581,210,14.48,8.2,47.18,247.4,24,3
121010290,JUGO LIMON TRAVERSO 30x500 PET,JUGO DE LIMON,326311,210,31.18,16.24,53.76,431.3,24,3
250010105,KETCHUP TRAVERSO 10x1000 BOLSA,SALSAS,291734,210,15.77,11.75,40.92,254.5,24,3
260010115,MOSTAZA TRAVERSO 12x1000 DOYPACK,SALSAS,208927,210,34.91,21.41,70.1,329.2,24,3
121010175,JUGO LIMON TRAVERSO 12x500 PET,JUGO DE LIMON,201923,210,45.56,33.34,388.88,325.3,24,3
121010320,JUGO LIMON TRAVERSO 4x5000 PET,JUGO DE LIMON,191772,210,28.58,12.5,170.05,199.0,24,3
210010495,AJI CREMA TRAVERSO 300x8 SACHET,SALSAS,190239,209,37.58,23.27,64.36,217.7,24,3
250010115,KETCHUP TRAVERSO 12x1000 DOYPACK,SALSAS,184746,210,27.04,12.66,41.14,208.9,24,3
111010290,VINAGRE BLANCO TRAVERSO 30x500 PET,VINAGRES,183315,210,38.79,38.1,73.42,214.8,24,3
121010210,JUGO LIMON TRAVERSO 20x1000 PET,JUGO DE LIMON,182880,210,26.13,25.21,62.02,152.0,24,3
113010290,VINAGRE MANZANA TRAVERSO 30x500 PET,VINAGRES,180625,210,26.27,14.01,28.04,205.4,24,3
112010290,VINAGRE ROSADO TRAVERSO 30x500 PET,VINAGRES,165830,210,22.15,8.05,29.88,150.7,24,3
210010105,AJI CREMA TRAVERSO 10x1000 BOLSA,SALSAS,148387,210,25.59,20.12,78.05,212.9,24,3
